ETF이름,링크,ETF코드,운용사,수수료,시가총액(억 원),수익률,,,,구성종목 TOP 10,,,,,,,,,,,,,,,,,,,
,,,,,,1개월,3개월,6개월,1년,1위,,2위,,3위,,4위,,5위,,6위,,7위,,8위,,9위,,10위,,
TREX 펀더멘탈 200,https://finance.naver.com/item/coinfo.nhn?code=145850,145850,유리에셋,0.340,100,-4.28,18.90,37.03,46.94, 삼성전자 ,24.42, 현대차 ,7.05, SK하이닉스 ,4.52, POSCO ,3.21, 기아차 ,3.08, LG전자 ,2.42, SK이노베이션 ,2.27, 한국전력 ,2.15, KB금융 ,1.96, 현대모비스 ,1.87
TREX 200,https://finance.naver.com/item/coinfo.nhn?code=108590,108590,유리에셋,0.325,147,-3.11,18.46,32.59,50.05, 삼성전자 ,31.25, SK하이닉스 ,6.40, NAVER ,3.82, LG화학 ,3.09, 삼성SDI ,2.79, 현대차 ,2.69, 셀트리온 ,2.51, 카카오 ,2.49, 기아차 ,1.60, 현대모비스 ,1.57
TIGER TOP10,https://finance.naver.com/item/coinfo.nhn?code=292150,292150,미래에셋자산운용,0.150,8419,-3.09,23.29,34.98,64.36, 삼성전자 ,24.36, SK하이닉스 ,17.42, NAVER ,10.95, LG화학 ,8.61, 삼성SDI ,7.80, 현대차 ,7.62, 셀트리온 ,7.08, 카카오 ,6.76, 현대모비스 ,4.40, 엔씨소프트 ,3.90
TIGER S&P글로벌헬스케어(합성),https://finance.naver.com/item/coinfo.nhn?code=248270,248270,미래에셋자산운용,0.400,152,-3.21,3.71,-2.31,5.40, 스왑(메리츠증권)_490183 ,, 스왑(한국투자증권)_490183 ,, ISHARES GLOBAL HEALTHCARE ET ,, 설정현금액 ,, 원화현금 ,
TIGER S&P글로벌인프라(합성),https://finance.naver.com/item/coinfo.nhn?code=269370,269370,미래에셋자산운용,0.400,50,1.94,2.61,5.22,-12.48, 스왑(한국투자증권)_490196 ,, ISHARES GLOBAL INFRASTRUCTUR ,, 설정현금액 ,, 원화현금 ,
TIGER MSCI Korea TR,https://finance.naver.com/item/coinfo.nhn?code=310970,310970,미래에셋자산운용,0.120,15126,-4.40,18.61,33.85,48.83, 삼성전자 ,32.68, SK하이닉스 ,6.41, 삼성전자우 ,4.97, NAVER ,3.84, LG화학 ,3.16, 삼성SDI ,3.09, 현대차 ,2.95, 셀트리온 ,2.37, 카카오 ,2.32, 기아차 ,1.73
TIGER MSCI KOREA ESG유니버설,https://finance.naver.com/item/coinfo.nhn?code=289250,289250,미래에셋자산운용,0.400,49,-4.04,19.45,35.06,49.41, 삼성전자 ,32.07, SK하이닉스 ,8.32, 삼성전자우 ,4.88, NAVER ,3.97, 삼성SDI ,3.21, 카카오 ,2.97, LG전자 ,2.68, 신한지주 ,2.49, LG화학 ,2.42, POSCO ,1.79
TIGER MSCI KOREA ESG리더스,https://finance.naver.com/item/coinfo.nhn?code=289260,289260,미래에셋자산운용,0.400,561,-4.09,18.28,28.42,50.94, SK하이닉스 ,18.15, NAVER ,10.87, LG화학 ,8.88, 삼성SDI ,8.72, KB금융 ,4.07, 엔씨소프트 ,3.69, LG전자 ,3.67, LG생활건강 ,3.41, 신한지주 ,3.40, SK이노베이션 ,3.37
TIGER LG그룹+펀더멘털,https://finance.naver.com/item/coinfo.nhn?code=138530,138530,미래에셋자산운용,0.150,185,-9.13,21.95,27.68,61.93, LG전자 ,18.85, LG화학 ,17.76, LG디스플레이 ,15.90, LG유플러스 ,11.22, LG ,7.73, GS건설 ,4.99, LG생활건강 ,4.13, GS ,3.60, LG이노텍 ,2.90, GS리테일 ,2.06
TIGER KTOP30,https://finance.naver.com/item/coinfo.nhn?code=228820,228820,미래에셋자산운용,0.250,112,-4.63,18.04,30.01,62.37, 삼성전자 ,22.03, NAVER ,10.03, LG화학 ,8.89, 삼성SDI ,7.21, 카카오 ,5.22, 롯데케미칼 ,3.40, 유한양행 ,3.32, 현대모비스 ,3.24, 셀트리온 ,3.18, POSCO ,3.01
TIGER KRX인터넷K-뉴딜,https://finance.naver.com/item/coinfo.nhn?code=365000,365000,미래에셋자산운용,0.400,416,1.43,14.77,,, 더존비즈온 ,25.55, 카카오 ,25.37, NAVER ,24.68, 케이엠더블유 ,8.07, 에이스테크 ,3.35, NHN한국사이버결제 ,3.14, 아프리카TV ,3.09, 안랩 ,2.66, 서진시스템 ,2.47, 알서포트 ,1.21
TIGER KRX바이오K-뉴딜,https://finance.naver.com/item/coinfo.nhn?code=364970,364970,미래에셋자산운용,0.400,721,-13.46,-12.55,,, 삼성바이오로직스 ,25.14, 셀트리온 ,25.10, SK바이오팜 ,24.30, 셀트리온헬스케어 ,11.54, 유한양행 ,3.12, 신풍제약 ,2.76, 셀트리온제약 ,2.43, 씨젠 ,2.09, 녹십자 ,1.97, 한미사이언스 ,1.33
TIGER KRX게임K-뉴딜,https://finance.naver.com/item/coinfo.nhn?code=364990,364990,미래에셋자산운용,0.400,314,-3.42,13.44,,, 엔씨소프트 ,24.99, 카카오게임즈 ,24.92, 넷마블 ,24.58, 펄어비스 ,7.88, 컴투스 ,5.33, 웹젠 ,3.47, NHN ,3.04, 더블유게임즈 ,2.19, 넵튠 ,2.04, 위메이드 ,1.47
TIGER KRX300,https://finance.naver.com/item/coinfo.nhn?code=292160,292160,미래에셋자산운용,0.090,323,-4.26,17.15,30.00,48.59, 삼성전자 ,29.52, SK하이닉스 ,6.01, NAVER ,3.60, LG화학 ,2.88, 삼성SDI ,2.65, 현대차 ,2.54, 셀트리온 ,2.39, 카카오 ,2.33, 기아차 ,1.51, 현대모비스 ,1.48
TIGER KRX2차전지K-뉴딜,https://finance.naver.com/item/coinfo.nhn?code=364980,364980,미래에셋자산운용,0.400,7786,-10.32,28.71,,, SK이노베이션 ,25.18, 삼성SDI ,25.02, LG화학 ,24.33, 포스코케미칼 ,8.58, SKC ,4.64, 에코프로비엠 ,3.15, 일진머티리얼즈 ,2.84, 솔브레인 ,2.51, 엘앤에프 ,2.16, 천보 ,1.36
TIGER KRX BBIG K-뉴딜,https://finance.naver.com/item/coinfo.nhn?code=364960,364960,미래에셋자산운용,0.400,4487,-5.21,12.04,,, 더존비즈온 ,8.71, 카카오 ,8.70, NAVER ,8.43, 셀트리온 ,8.31, 삼성바이오로직스 ,8.31, SK이노베이션 ,8.28, 카카오게임즈 ,8.27, 엔씨소프트 ,8.27, 삼성SDI ,8.22, 넷마블 ,8.17
TIGER KIS부동산인프라채권TR,https://finance.naver.com/item/coinfo.nhn?code=341850,341850,미래에셋자산운용,0.220,200,0.39,-1.14,2.70,, 롯데리츠 ,, 제이알글로벌리츠 ,, ESR켄달스퀘어리츠 ,, 맥쿼리인프라 ,, 맵스리얼티1 ,, 코람코에너지리츠 ,, 이리츠코크렙 ,, 신한알파리츠 ,, TIGER 중장기국채 ,, 원화현금 ,
TIGER K게임,https://finance.naver.com/item/coinfo.nhn?code=300610,300610,미래에셋자산운용,0.500,48,-2.18,15.56,13.77,55.29, 카카오게임즈 ,11.34, 펄어비스 ,10.61, 엔씨소프트 ,9.70, 넷마블 ,9.54, 웹젠 ,8.89, 컴투스 ,8.17, NHN ,7.78, 더블유게임즈 ,5.85, 데브시스터즈 ,5.14, 위메이드 ,3.83
TIGER CD금리투자KIS(합성),https://finance.naver.com/item/coinfo.nhn?code=357870,357870,미래에셋자산운용,0.150,3147,0.06,0.16,0.33,, 스왑(NH투자증권) 200717 ,, 스왑(한국투자증권) 200807 ,, 스왑(메리츠) 200709 ,, 스왑(키움증권) 200709 ,, 설정현금액 ,, 원화현금 ,100.00
TIGER AI코리아그로스액티브,https://finance.naver.com/item/coinfo.nhn?code=365040,365040,미래에셋자산운용,0.400,173,-3.24,19.30,,, 삼성전자 ,25.35, SK하이닉스 ,4.41, NAVER ,3.50, LG화학 ,3.19, 현대차 ,3.07, 삼성SDI ,2.48, 기아차 ,1.85, 현대모비스 ,1.69, POSCO ,1.67, 셀트리온 ,1.66
TIGER 화장품,https://finance.naver.com/item/coinfo.nhn?code=228790,228790,미래에셋자산운용,0.500,234,-3.81,7.48,3.09,21.36, 한국콜마 ,10.64, 아모레퍼시픽 ,10.58, 코스맥스 ,10.38, 아모레G ,10.22, LG생활건강 ,9.56, 콜마비앤에이치 ,9.52, 한국콜마홀딩스 ,7.20, 현대바이오랜드 ,6.01, 네오팜 ,3.92, 연우 ,3.25
TIGER 현대차그룹+펀더멘털,https://finance.naver.com/item/coinfo.nhn?code=138540,138540,미래에셋자산운용,0.150,1312,-8.56,27.42,51.70,70.97, 현대차 ,25.38, 기아차 ,22.91, 현대모비스 ,17.14, 현대제철 ,10.93, 한국조선해양 ,4.63, 현대건설 ,4.43, 현대글로비스 ,3.84, 현대위아 ,3.14, 현대중공업지주 ,2.01, 현대미포조선 ,1.04
TIGER 헬스케어,https://finance.naver.com/item/coinfo.nhn?code=143860,143860,미래에셋자산운용,0.400,1333,-12.46,-7.29,-8.39,61.27, 셀트리온 ,18.66, 셀트리온헬스케어 ,11.71, 삼성바이오로직스 ,10.56, 유한양행 ,3.15, 신풍제약 ,2.78, 알테오젠 ,2.50, 셀트리온제약 ,2.41, 한미약품 ,2.36, 씨젠 ,2.12, SK바이오팜 ,1.97
