,Share Code,Share Name,Market Code,Market Name,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,  당기순이익(지배),  당기순이익(비지배),자산총계,부채총계,자본총계,  자본총계(지배),  자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2019/12,060310,3S *,138,기계,52,5,5,3,3,3,,523,171,352,352,,224,-12,-5,-2,8,-20,118,9.86,6.51,7.97,4.94,48.67,58.20,8,46.98,786,3.59,0,,,44772143
2020/03,060310,3S *,138,기계,50,-7,-7,-19,-19,-19,,497,163,334,334,,224,-8,-5,-2,3,-11,122,-14.42,-38.49,-3.19,-2.10,48.83,49.79,-43,N/A,745,2.51,,,,44802511
2020/06,060310,3S *,138,기계,43,-4,-4,-5,-5,-5,,488,160,329,329,,224,-1,-4,-1,2,-3,121,-8.21,-10.96,-6.88,-4.61,48.53,47.70,-10,N/A,734,3.30,,,0.00,44802511
2020/09,060310,3S *,138,기계,67,-5,-5,-7,-7,-7,,505,184,322,322,,224,-15,-10,-1,8,-23,121,-6.77,-10.65,-8.26,-5.42,57.04,44.51,-16,N/A,718,2.95,,,0.00,44802511
2020/12,060310,3S *,138,기계,88,1,1,2,2,2,,522,198,324,324,,224,14,-23,11,27,-13,132,1.57,2.22,-8.62,-5.57,61.25,45.38,4,N/A,722,3.00,,,,44802511
2019/09,095570,AJ네트웍스 ,220,도로와철도운송,3122,96,96,35,28,34,-5,18057,13978,4079,3832,,468,194,-1424,451,291,-97,12008,3.08,0.91,28.55,5.77,342.68,766.73,72,2.07,8185,0.53,0,,0.00,46822295
2019/12,095570,AJ네트웍스 ,220,도로와철도운송,3162,-97,-97,-656,-585,-537,-47,18033,14559,3473,3185,,468,-191,-416,523,289,-480,12517,-3.05,-18.48,15.18,1.92,419.16,639.52,-1148,5.06,6802,0.73,300,6.04,-26.14,46822295
2020/03,095570,AJ네트웍스 ,220,도로와철도운송,3167,120,120,42,20,12,9,17682,14347,3335,3045,290,468,-175,505,-206,51,-226,12485,3.78,0.64,-22.25,-4.84,430.17,612.00,25,N/A,6659,0.44,0,,0.00,46822295
2020/06,095570,AJ네트웍스 ,220,도로와철도운송,3064,87,87,59,29,35,-5,17784,14428,3356,3065,291,468,-92,-13,311,187,-280,13716,2.83,0.96,-13.36,-2.88,429.94,619.38,74,N/A,6702,0.43,0,,0.00,46822295
2020/09,095570,AJ네트웍스 ,220,도로와철도운송,3128,126,126,-59,-75,-85,10,17282,14038,3244,2946,298,468,23,551,-534,122,-100,12604,4.04,-2.39,-17.00,-3.45,432.74,601.24,-181,N/A,6446,0.50,0,,0.00,46822295
