,Share Code,Share Name,Market Code,Market Name,매출액,영업이익,영업이익(발표기준),세전계속사업이익,당기순이익,  당기순이익(지배),  당기순이익(비지배),자산총계,부채총계,자본총계,  자본총계(지배),  자본총계(비지배),자본금,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,CAPEX,FCF,이자발생부채,영업이익률,순이익률,ROE(%),ROA(%),부채비율,자본유보율,EPS(원),PER(배),BPS(원),PBR(배),현금DPS(원),현금배당수익률,현금배당성향(%),발행주식수(보통주)
2016/03,060310,3S *,138,기계,237,12,12,-34,-34,-34,,577,231,346,346,,204,19,5,-82,7,12,185,4.96,-14.34,-9.38,-5.44,66.88,71.80,-83,N/A,846,2.82,0,0.00,0.00,40892268
2017/03,060310,3S *,138,기계,265,-24,-24,-90,-88,-88,,537,245,292,292,,210,-29,-1,38,8,-36,195,-9.14,-33.24,-27.61,-15.80,84.06,40.00,-210,N/A,695,3.53,0,0.00,0.00,41974138
2018/03,060310,3S *,138,기계,315,3,3,-13,-14,-14,,495,188,308,308,,218,46,-9,-22,10,36,153,1.06,-4.54,-4.78,-2.77,61.03,41.27,-34,N/A,704,3.15,0,0.00,0.00,43666242
2019/03,060310,3S *,138,기계,358,17,17,14,14,14,,533,190,344,344,,224,29,2,6,3,25,130,4.65,3.95,4.33,2.74,55.16,54.46,32,75.14,768,3.11,0,0.00,0.00,44772143
2020/03,060310,3S *,138,기계,226,5,5,-11,-11,-11,,497,163,334,334,,224,12,-10,-17,18,-7,122,2.07,-4.78,-3.19,-2.10,48.83,49.79,-24,N/A,745,2.51,,,,44802511
2015/12,095570,AJ네트웍스 ,220,도로와철도운송,10556,743,743,383,290,188,102,17252,13272,3980,2628,1352,468,-1063,-744,2312,669,-1733,11612,7.03,2.75,8.87,1.83,333.46,509.19,477,19.75,5613,1.68,0,0.00,0.00,46822295
2016/12,095570,AJ네트웍스 ,220,도로와철도운송,12539,619,619,286,171,135,36,20813,16538,4275,2800,1475,468,-1867,-851,3202,431,-2298,14544,4.93,1.36,4.98,0.90,386.87,538.03,288,22.54,5980,1.09,60,0.92,20.80,46822295
2017/12,095570,AJ네트웍스 ,220,도로와철도운송,8439,224,224,8,206,150,56,23542,19071,4472,2888,1584,468,-1485,-894,1872,527,-2012,16367,2.66,2.45,5.27,0.93,426.47,564.05,320,21.76,6168,1.13,86,1.23,26.85,46822295
2018/12,095570,AJ네트웍스 ,220,도로와철도운송,10455,-212,-212,-494,373,11,361,25751,20833,4918,2871,,468,-835,-446,1275,386,-1221,10130,-2.03,3.56,0.39,1.51,423.61,561.82,24,186.12,6131,0.73,100,2.22,413.15,46822295
2019/12,095570,AJ네트웍스 ,220,도로와철도운송,12028,178,178,828,421,460,-38,18033,14559,3473,3185,,468,-379,444,643,651,-1030,12517,1.48,3.50,15.18,1.92,419.16,639.52,982,5.06,6802,0.73,300,6.04,30.56,46822295
2015/12,006840,AK홀딩스 ,140,화학,28071,1063,1063,-199,-374,-430,56,24955,15939,9016,5609,3407,662,1412,1434,-1464,1125,288,7729,3.79,-1.33,-7.68,-1.42,176.79,751.97,-3246,N/A,43498,1.45,500,0.79,-15.00,13247561
2016/12,006840,AK홀딩스 ,140,화학,29218,2137,2137,1941,1333,720,613,27419,17305,10114,6204,3910,662,3183,-1286,-743,731,2452,7540,7.31,4.56,12.19,5.09,171.10,841.77,5436,10.30,48112,1.16,550,0.98,9.85,13247561
2017/12,006840,AK홀딩스 ,140,화학,33925,2656,2656,2407,1854,996,858,29448,17927,11521,7015,4505,662,2809,-2925,-393,2347,462,7601,7.83,5.46,15.07,6.52,155.61,970.14,7522,9.11,54400,1.26,650,0.95,8.41,13247561
2018/12,006840,AK홀딩스 ,140,화학,37112,2697,2697,2698,2066,1069,997,33979,19240,14739,8452,,662,3173,-2246,900,3467,-294,7806,7.27,5.57,13.82,6.51,130.54,1179.20,8070,6.69,64785,0.83,750,1.39,9.15,13247561
2019/12,006840,AK홀딩스 ,140,화학,37595,1313,1313,809,574,283,291,43280,28980,14299,8273,,662,2742,-2193,-2955,885,1857,16959,3.49,1.53,3.38,1.49,202.67,1149.46,2135,16.21,63415,0.55,750,2.17,34.60,13247561
2015/12,054620,APS홀딩스 *,199,디스플레이장비및부품,2932,121,121,104,78,86,-8,2990,1893,1096,1065,32,117,-308,-206,406,161,-470,1304,4.14,2.66,8.43,3.03,172.72,1017.36,368,52.55,5096,3.80,0,0.00,0.00,23409961
2016/12,054620,APS홀딩스 *,199,디스플레이장비및부품,243,-23,323,-53,275,262,13,5662,3593,2070,2027,43,143,846,-712,841,699,147,1382,-9.56,113.23,16.92,6.35,173.60,1492.19,994,44.71,7768,5.72,0,0.00,3.67,25609961
2017/12,054620,APS홀딩스 *,199,디스플레이장비및부품,805,-3,-3,-188,6701,6694,7,2318,485,1833,1818,15,67,148,-1073,-54,203,-54,176,-0.37,832.81,348.19,167.95,26.47,12776.49,42257,0.18,14966,0.50,0,0.00,0.07,11930928
2018/12,054620,APS홀딩스 *,199,디스플레이장비및부품,284,-36,-36,-62,12,12,-1,2832,476,2356,2338,,109,-54,159,-68,153,-207,298,-12.72,4.11,0.59,0.45,20.21,8441.33,58,72.83,12073,0.35,0,0.00,18.35,20394221
2019/12,054620,APS홀딩스 *,199,디스플레이장비및부품,232,-106,-106,-14,-46,-27,-19,2977,829,2148,2148,,109,-41,-208,189,180,-221,655,-45.70,-19.87,-1.22,-1.58,38.61,8290.47,-130,N/A,11675,0.87,,,,20394221
,265520,AP시스템 *,199,디스플레이장비및부품,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016/12,265520,AP시스템 *,199,디스플레이장비및부품,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/12,265520,AP시스템 *,199,디스플레이장비및부품,9624,262,262,263,191,191,,4680,3785,895,895,,76,557,-467,453,81,476,1488,2.72,1.98,,,423.00,1071.22,1495,23.48,5856,5.99,0,0.00,2.32,13899212
